,State_Name,District_Name,Labour_hours,Crop_Year,Season,Crop,Area,Production,yield
2,Andaman and Nicobar Islands,NICOBARS,859.5,2000,Kharif     ,Rice,102.0,321.0,3147.0588235294117
12,Andaman and Nicobar Islands,NICOBARS,859.5,2001,Kharif     ,Rice,83.0,300.0,3614.4578313253014
18,Andaman and Nicobar Islands,NICOBARS,859.5,2002,Kharif     ,Rice,189.2,510.84,2700.0
27,Andaman and Nicobar Islands,NICOBARS,859.5,2003,Kharif     ,Rice,52.0,90.17,1734.0384615384614
36,Andaman and Nicobar Islands,NICOBARS,859.5,2004,Kharif     ,Rice,52.94,72.57,1370.797128825085
45,Andaman and Nicobar Islands,NICOBARS,859.5,2005,Kharif     ,Rice,2.09,12.06,5770.334928229666
64,Andaman and Nicobar Islands,NICOBARS,859.5,2010,Autumn     ,Rice,3.5,10.0,2857.1428571428573
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2000,Kharif     ,Rice,10779.0,31863.0,2956.025605343724
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2001,Kharif     ,Rice,9718.0,27033.0,2781.7452150648282
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2006,Kharif     ,Rice,6854.3,18995.62,2771.3435361743723
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2010,Autumn     ,Rice,6791.0,20118.0,2962.450301870122
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2002,Kharif     ,Rice,10695.8,31600.82,2954.507376727314
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2003,Kharif     ,Rice,10509.37,30760.7,2926.9784963323204
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2004,Kharif     ,Rice,10681.98,29119.66,2726.0545329611177
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2005,Kharif     ,Rice,8683.38,25870.98,2979.367481326396
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2006,Kharif     ,Rice,921.87,2539.64,2754.8786705283824
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2010,Autumn     ,Rice,1595.5,3788.0,2374.1773738639927
216,Andhra Pradesh,ANANTAPUR,824.4,1997,Kharif     ,Rice,35600.0,75400.0,2117.9775280898875
228,Andhra Pradesh,ANANTAPUR,824.4,1997,Rabi       ,Rice,18000.0,37300.0,2072.222222222222
244,Andhra Pradesh,ANANTAPUR,824.4,1998,Kharif     ,Rice,38300.0,96800.0,2527.415143603133
253,Andhra Pradesh,ANANTAPUR,824.4,1998,Rabi       ,Rice,26600.0,63900.0,2402.2556390977443
268,Andhra Pradesh,ANANTAPUR,824.4,1999,Kharif     ,Rice,37991.0,105082.0,2765.9708878418573
281,Andhra Pradesh,ANANTAPUR,824.4,1999,Rabi       ,Rice,20258.0,45669.0,2254.368644486129
304,Andhra Pradesh,ANANTAPUR,824.4,2000,Kharif     ,Rice,39905.0,117680.0,2949.0038842250347
322,Andhra Pradesh,ANANTAPUR,824.4,2000,Rabi       ,Rice,22099.0,57236.0,2589.9814471243044
351,Andhra Pradesh,ANANTAPUR,824.4,2001,Kharif     ,Rice,32878.0,95609.0,2907.993186933512
368,Andhra Pradesh,ANANTAPUR,824.4,2001,Rabi       ,Rice,38119.0,108906.0,2857.0004459718252
395,Andhra Pradesh,ANANTAPUR,824.4,2002,Kharif     ,Rice,29066.0,66329.0,2282.0133489300215
411,Andhra Pradesh,ANANTAPUR,824.4,2002,Rabi       ,Rice,10960.0,20462.0,1866.970802919708
452,Andhra Pradesh,ANANTAPUR,824.4,2003,Kharif     ,Rice,17515.0,44891.0,2563.0031401655724
470,Andhra Pradesh,ANANTAPUR,824.4,2003,Rabi       ,Rice,10826.0,25463.0,2352.0229078145207
506,Andhra Pradesh,ANANTAPUR,824.4,2004,Kharif     ,Rice,24335.0,85051.0,3495.007191288268
522,Andhra Pradesh,ANANTAPUR,824.4,2004,Rabi       ,Rice,9240.0,21622.0,2340.04329004329
548,Andhra Pradesh,ANANTAPUR,824.4,2005,Kharif     ,Rice,25008.0,69972.0,2797.9846449136276
563,Andhra Pradesh,ANANTAPUR,824.4,2005,Rabi       ,Rice,23142.0,55587.0,2401.9963702359346
589,Andhra Pradesh,ANANTAPUR,824.4,2006,Kharif     ,Rice,22349.0,67427.0,3017.002997896998
603,Andhra Pradesh,ANANTAPUR,824.4,2006,Rabi       ,Rice,10846.0,31974.0,2947.999262400885
626,Andhra Pradesh,ANANTAPUR,824.4,2007,Kharif     ,Rice,30000.0,95000.0,3166.6666666666665
633,Andhra Pradesh,ANANTAPUR,824.4,2007,Rabi       ,Rice,14000.0,37000.0,2642.8571428571427
648,Andhra Pradesh,ANANTAPUR,824.4,2008,Kharif     ,Rice,30306.0,94615.0,3121.989045073583
660,Andhra Pradesh,ANANTAPUR,824.4,2008,Rabi       ,Rice,18416.0,49815.0,2704.984795829713
684,Andhra Pradesh,ANANTAPUR,824.4,2009,Kharif     ,Rice,32226.0,101512.0,3150.003103084466
699,Andhra Pradesh,ANANTAPUR,824.4,2009,Rabi       ,Rice,19428.0,46899.0,2413.990117356393
725,Andhra Pradesh,ANANTAPUR,824.4,2010,Kharif     ,Rice,34973.0,102007.0,2916.7357675921426
738,Andhra Pradesh,ANANTAPUR,824.4,2010,Rabi       ,Rice,24828.0,69394.0,2794.989527952312
767,Andhra Pradesh,ANANTAPUR,824.4,2011,Kharif     ,Rice,37720.0,94531.0,2506.1240721102863
783,Andhra Pradesh,ANANTAPUR,824.4,2011,Rabi       ,Rice,10948.0,25542.0,2333.0288637194008
820,Andhra Pradesh,ANANTAPUR,824.4,2012,Kharif     ,Rice,22056.0,58691.0,2660.9992745738123
846,Andhra Pradesh,ANANTAPUR,824.4,2012,Rabi       ,Rice,6998.0,17768.0,2539.011146041726
881,Andhra Pradesh,ANANTAPUR,824.4,2013,Kharif     ,Rice,28114.0,59377.0,2112.008252116383
908,Andhra Pradesh,ANANTAPUR,824.4,2013,Rabi       ,Rice,12283.0,28558.0,2325.0020353333875
953,Andhra Pradesh,ANANTAPUR,824.4,2014,Kharif     ,Rice,22658.0,68155.0,3007.9883484861857
981,Andhra Pradesh,ANANTAPUR,824.4,2014,Rabi       ,Rice,6553.0,14377.0,2193.9569662749886
990,Andhra Pradesh,ANANTAPUR,824.4,2014,Whole Year ,Rice,29211.0,82532.0,2825.3740029440964
1001,Andhra Pradesh,CHITTOOR,824.4,1997,Kharif     ,Rice,42300.0,84400.0,1995.2718676122931
1010,Andhra Pradesh,CHITTOOR,824.4,1997,Rabi       ,Rice,57400.0,137400.0,2393.728222996516
1024,Andhra Pradesh,CHITTOOR,824.4,1998,Kharif     ,Rice,42000.0,105400.0,2509.5238095238096
1034,Andhra Pradesh,CHITTOOR,824.4,1998,Rabi       ,Rice,62400.0,159200.0,2551.2820512820513
1048,Andhra Pradesh,CHITTOOR,824.4,1999,Kharif     ,Rice,37542.0,75477.0,2010.4682755314047
1061,Andhra Pradesh,CHITTOOR,824.4,1999,Rabi       ,Rice,37489.0,76800.0,2048.600922937395
1085,Andhra Pradesh,CHITTOOR,824.4,2000,Kharif     ,Rice,33776.0,89236.0,2641.994315490289
1104,Andhra Pradesh,CHITTOOR,824.4,2000,Rabi       ,Rice,41442.0,97181.0,2344.98817624632
1134,Andhra Pradesh,CHITTOOR,824.4,2001,Kharif     ,Rice,24377.0,55311.0,2268.9830578003857
1150,Andhra Pradesh,CHITTOOR,824.4,2001,Rabi       ,Rice,62049.0,170573.0,2749.0048187722605
1176,Andhra Pradesh,CHITTOOR,824.4,2002,Kharif     ,Rice,20137.0,50020.0,2483.9847047723097
1195,Andhra Pradesh,CHITTOOR,824.4,2002,Rabi       ,Rice,30034.0,76827.0,2558.000932276753
1237,Andhra Pradesh,CHITTOOR,824.4,2003,Kharif     ,Rice,18495.0,38562.0,2084.9959448499594
1255,Andhra Pradesh,CHITTOOR,824.4,2003,Rabi       ,Rice,27286.0,46714.0,1712.013486769772
1296,Andhra Pradesh,CHITTOOR,824.4,2004,Kharif     ,Rice,19055.0,43331.0,2273.9963264235107
1313,Andhra Pradesh,CHITTOOR,824.4,2004,Rabi       ,Rice,25822.0,69177.0,2678.9946557199287
1341,Andhra Pradesh,CHITTOOR,824.4,2005,Kharif     ,Rice,16240.0,37173.0,2288.977832512315
1356,Andhra Pradesh,CHITTOOR,824.4,2005,Rabi       ,Rice,66351.0,193612.0,2917.996714442887
1382,Andhra Pradesh,CHITTOOR,824.4,2006,Kharif     ,Rice,17049.0,42520.0,2493.9879171798934
1398,Andhra Pradesh,CHITTOOR,824.4,2006,Rabi       ,Rice,29164.0,85101.0,2918.015361404471
1422,Andhra Pradesh,CHITTOOR,824.4,2007,Kharif     ,Rice,15000.0,42000.0,2800.0
1430,Andhra Pradesh,CHITTOOR,824.4,2007,Rabi       ,Rice,37000.0,116000.0,3135.135135135135
1446,Andhra Pradesh,CHITTOOR,824.4,2008,Kharif     ,Rice,17596.0,46242.0,2627.9836326437826
1459,Andhra Pradesh,CHITTOOR,824.4,2008,Rabi       ,Rice,37927.0,118636.0,3128.0090700556334
1486,Andhra Pradesh,CHITTOOR,824.4,2009,Kharif     ,Rice,19758.0,56192.0,2844.0125518777204
1500,Andhra Pradesh,CHITTOOR,824.4,2009,Rabi       ,Rice,35155.0,113937.0,3240.9899018631772
1527,Andhra Pradesh,CHITTOOR,824.4,2010,Kharif     ,Rice,18019.0,53639.0,2976.802264276597
1542,Andhra Pradesh,CHITTOOR,824.4,2010,Rabi       ,Rice,43558.0,131502.0,3019.0091372422976
1568,Andhra Pradesh,CHITTOOR,824.4,2011,Kharif     ,Rice,17342.0,55719.0,3212.9512166993427
1585,Andhra Pradesh,CHITTOOR,824.4,2011,Rabi       ,Rice,33764.0,113211.0,3353.009122141926
1621,Andhra Pradesh,CHITTOOR,824.4,2012,Kharif     ,Rice,12952.0,45241.0,3492.974058060531
1649,Andhra Pradesh,CHITTOOR,824.4,2012,Rabi       ,Rice,34557.0,126168.0,3651.0113725149754
1680,Andhra Pradesh,CHITTOOR,824.4,2013,Kharif     ,Rice,15206.0,48766.0,3207.023543338156
1708,Andhra Pradesh,CHITTOOR,824.4,2013,Rabi       ,Rice,34654.0,120249.0,3469.989034454897
1746,Andhra Pradesh,CHITTOOR,824.4,2014,Kharif     ,Rice,13304.0,44462.0,3342.0024052916415
1771,Andhra Pradesh,CHITTOOR,824.4,2014,Rabi       ,Rice,27661.0,87962.0,3180.0007230396586
1779,Andhra Pradesh,CHITTOOR,824.4,2014,Whole Year ,Rice,40965.0,132424.0,3232.613206395704
1789,Andhra Pradesh,EAST GODAVARI,824.4,1997,Kharif     ,Rice,214100.0,429300.0,2005.1377860812704
1802,Andhra Pradesh,EAST GODAVARI,824.4,1997,Rabi       ,Rice,154400.0,491500.0,3183.2901554404143
1816,Andhra Pradesh,EAST GODAVARI,824.4,1998,Kharif     ,Rice,256300.0,386600.0,1508.3886071010534
1830,Andhra Pradesh,EAST GODAVARI,824.4,1998,Rabi       ,Rice,157600.0,656600.0,4166.243654822335
1846,Andhra Pradesh,EAST GODAVARI,824.4,1999,Kharif     ,Rice,244655.0,628606.0,2569.3568494410497
1858,Andhra Pradesh,EAST GODAVARI,824.4,1999,Rabi       ,Rice,161551.0,645162.0,3993.5500244504833
1882,Andhra Pradesh,EAST GODAVARI,824.4,2000,Kharif     ,Rice,253966.0,683423.0,2691.001945142263
1901,Andhra Pradesh,EAST GODAVARI,824.4,2000,Rabi       ,Rice,162861.0,683202.0,4195.000644721573
1929,Andhra Pradesh,EAST GODAVARI,824.4,2001,Kharif     ,Rice,220811.0,579850.0,2626.001422030605
1945,Andhra Pradesh,EAST GODAVARI,824.4,2001,Rabi       ,Rice,165779.0,750150.0,4525.000150803177
1974,Andhra Pradesh,EAST GODAVARI,824.4,2002,Kharif     ,Rice,194809.0,551115.0,2829.001740166009
1989,Andhra Pradesh,EAST GODAVARI,824.4,2002,Rabi       ,Rice,106427.0,491906.0,4622.003814821427
2030,Andhra Pradesh,EAST GODAVARI,824.4,2003,Kharif     ,Rice,234673.0,762453.0,3249.001802508171
2045,Andhra Pradesh,EAST GODAVARI,824.4,2003,Rabi       ,Rice,165321.0,869092.0,5256.9969937273545
2085,Andhra Pradesh,EAST GODAVARI,824.4,2004,Kharif     ,Rice,224521.0,743614.0,3312.0019953590086
2100,Andhra Pradesh,EAST GODAVARI,824.4,2004,Rabi       ,Rice,162903.0,766296.0,4704.001767923242
2127,Andhra Pradesh,EAST GODAVARI,824.4,2005,Kharif     ,Rice,217411.0,348727.0,1603.9988777016802
2143,Andhra Pradesh,EAST GODAVARI,824.4,2005,Rabi       ,Rice,170012.0,800927.0,4711.002752746865
2171,Andhra Pradesh,EAST GODAVARI,824.4,2006,Kharif     ,Rice,227930.0,547716.0,2403.000921335498
2187,Andhra Pradesh,EAST GODAVARI,824.4,2006,Rabi       ,Rice,168963.0,845829.0,5006.001313897125
2209,Andhra Pradesh,EAST GODAVARI,824.4,2007,Kharif     ,Rice,242000.0,715000.0,2954.5454545454545
2218,Andhra Pradesh,EAST GODAVARI,824.4,2007,Rabi       ,Rice,169000.0,803000.0,4751.4792899408285
2237,Andhra Pradesh,EAST GODAVARI,824.4,2008,Kharif     ,Rice,240231.0,716609.0,2982.999696125812
2250,Andhra Pradesh,EAST GODAVARI,824.4,2008,Rabi       ,Rice,169861.0,796648.0,4689.9994701550095
2277,Andhra Pradesh,EAST GODAVARI,824.4,2009,Kharif     ,Rice,202153.0,616567.0,3050.001731361889
2292,Andhra Pradesh,EAST GODAVARI,824.4,2009,Rabi       ,Rice,104423.0,456537.0,4371.996590789386
2318,Andhra Pradesh,EAST GODAVARI,824.4,2010,Kharif     ,Rice,237640.0,457704.0,1926.0393873085338
2331,Andhra Pradesh,EAST GODAVARI,824.4,2010,Rabi       ,Rice,172888.0,849917.0,4915.997640090694
2356,Andhra Pradesh,EAST GODAVARI,824.4,2011,Kharif     ,Rice,197445.0,589741.0,2986.8621641469776
2372,Andhra Pradesh,EAST GODAVARI,824.4,2011,Rabi       ,Rice,139649.0,587084.0,4203.997164319115
2403,Andhra Pradesh,EAST GODAVARI,824.4,2012,Kharif     ,Rice,232300.0,355651.0,1530.9987085665089
2426,Andhra Pradesh,EAST GODAVARI,824.4,2012,Rabi       ,Rice,168756.0,746239.0,4421.999810377112
2454,Andhra Pradesh,EAST GODAVARI,824.4,2013,Kharif     ,Rice,235159.0,434104.0,1846.002066686795
2478,Andhra Pradesh,EAST GODAVARI,824.4,2013,Rabi       ,Rice,169523.0,777602.0,4586.999994101096
2512,Andhra Pradesh,EAST GODAVARI,824.4,2014,Kharif     ,Rice,226072.0,681833.0,3015.999327647829
2536,Andhra Pradesh,EAST GODAVARI,824.4,2014,Rabi       ,Rice,168045.0,881396.0,5244.9998512303255
2544,Andhra Pradesh,EAST GODAVARI,824.4,2014,Whole Year ,Rice,394117.0,1563229.0,3966.4084523123843
2554,Andhra Pradesh,GUNTUR,824.4,1997,Kharif     ,Rice,295000.0,845300.0,2865.423728813559
2568,Andhra Pradesh,GUNTUR,824.4,1997,Rabi       ,Rice,14500.0,51800.0,3572.4137931034484
2581,Andhra Pradesh,GUNTUR,824.4,1998,Kharif     ,Rice,298400.0,921400.0,3087.8016085790887
2592,Andhra Pradesh,GUNTUR,824.4,1998,Rabi       ,Rice,29100.0,99900.0,3432.9896907216494
2606,Andhra Pradesh,GUNTUR,824.4,1999,Kharif     ,Rice,302886.0,969414.0,3200.590321110913
2618,Andhra Pradesh,GUNTUR,824.4,1999,Rabi       ,Rice,14822.0,53167.0,3587.0327890972876
2635,Andhra Pradesh,GUNTUR,824.4,2000,Kharif     ,Rice,292899.0,987363.0,3371.0016080628475
2650,Andhra Pradesh,GUNTUR,824.4,2000,Rabi       ,Rice,12692.0,49600.0,3907.9735266309485
2673,Andhra Pradesh,GUNTUR,824.4,2001,Kharif     ,Rice,272468.0,935110.0,3431.999354052586
2687,Andhra Pradesh,GUNTUR,824.4,2001,Rabi       ,Rice,44917.0,181060.0,4030.990493577042
2710,Andhra Pradesh,GUNTUR,824.4,2002,Kharif     ,Rice,202953.0,646811.0,3186.998960350426
2728,Andhra Pradesh,GUNTUR,824.4,2002,Rabi       ,Rice,2716.0,7385.0,2719.0721649484535
2766,Andhra Pradesh,GUNTUR,824.4,2003,Kharif     ,Rice,170487.0,482990.0,2833.001929765906
2782,Andhra Pradesh,GUNTUR,824.4,2003,Rabi       ,Rice,5772.0,16837.0,2917.013167013167
2821,Andhra Pradesh,GUNTUR,824.4,2004,Kharif     ,Rice,240404.0,833961.0,3468.998019999667
2837,Andhra Pradesh,GUNTUR,824.4,2004,Rabi       ,Rice,21247.0,70922.0,3337.97712618252
2861,Andhra Pradesh,GUNTUR,824.4,2005,Kharif     ,Rice,288879.0,892636.0,3089.9996192177346
2874,Andhra Pradesh,GUNTUR,824.4,2005,Rabi       ,Rice,31434.0,111559.0,3548.991537825285
2893,Andhra Pradesh,GUNTUR,824.4,2006,Kharif     ,Rice,288638.0,783941.0,2716.0006651930794
2907,Andhra Pradesh,GUNTUR,824.4,2006,Rabi       ,Rice,28933.0,100947.0,3488.99180866139
2925,Andhra Pradesh,GUNTUR,824.4,2007,Kharif     ,Rice,283000.0,976000.0,3448.763250883392
2934,Andhra Pradesh,GUNTUR,824.4,2007,Rabi       ,Rice,24000.0,85000.0,3541.6666666666665
2947,Andhra Pradesh,GUNTUR,824.4,2008,Kharif     ,Rice,281491.0,959321.0,3407.998834776245
2959,Andhra Pradesh,GUNTUR,824.4,2008,Rabi       ,Rice,51358.0,187662.0,3653.9974298064567
2980,Andhra Pradesh,GUNTUR,824.4,2009,Kharif     ,Rice,190526.0,683226.0,3585.9987613239136
2993,Andhra Pradesh,GUNTUR,824.4,2009,Rabi       ,Rice,112342.0,383423.0,3412.997810257962
3017,Andhra Pradesh,GUNTUR,824.4,2010,Kharif     ,Rice,271072.0,649760.0,2397.001534647621
3032,Andhra Pradesh,GUNTUR,824.4,2010,Rabi       ,Rice,58393.0,201806.0,3455.9964379292037
3054,Andhra Pradesh,GUNTUR,824.4,2011,Kharif     ,Rice,281790.0,1080921.0,3835.9097200042584
3068,Andhra Pradesh,GUNTUR,824.4,2011,Rabi       ,Rice,11012.0,39060.0,3547.039593171086
3095,Andhra Pradesh,GUNTUR,824.4,2012,Kharif     ,Rice,174699.0,607778.0,3479.0010246194884
3120,Andhra Pradesh,GUNTUR,824.4,2012,Rabi       ,Rice,8362.0,29903.0,3576.0583592442
3147,Andhra Pradesh,GUNTUR,824.4,2013,Kharif     ,Rice,280060.0,912716.0,3259.0016425051776
3169,Andhra Pradesh,GUNTUR,824.4,2013,Rabi       ,Rice,48107.0,183288.0,3810.0068597085665
3199,Andhra Pradesh,GUNTUR,824.4,2014,Kharif     ,Rice,255607.0,1000190.0,3912.9992527591185
3222,Andhra Pradesh,GUNTUR,824.4,2014,Rabi       ,Rice,29695.0,111742.0,3762.9904024246507
3231,Andhra Pradesh,GUNTUR,824.4,2014,Whole Year ,Rice,285302.0,1111932.0,3897.385927893951
3244,Andhra Pradesh,KADAPA,824.4,1997,Kharif     ,Rice,47700.0,77500.0,1624.7379454926624
3255,Andhra Pradesh,KADAPA,824.4,1997,Rabi       ,Rice,13000.0,27700.0,2130.769230769231
3271,Andhra Pradesh,KADAPA,824.4,1998,Kharif     ,Rice,59200.0,169800.0,2868.2432432432433
3281,Andhra Pradesh,KADAPA,824.4,1998,Rabi       ,Rice,17000.0,41600.0,2447.0588235294117
3298,Andhra Pradesh,KADAPA,824.4,1999,Kharif     ,Rice,54783.0,134484.0,2454.8491320300095
3312,Andhra Pradesh,KADAPA,824.4,1999,Rabi       ,Rice,6828.0,12921.0,1892.3550087873462
3335,Andhra Pradesh,KADAPA,824.4,2000,Kharif     ,Rice,60412.0,170120.0,2815.996821823479
3353,Andhra Pradesh,KADAPA,824.4,2000,Rabi       ,Rice,7426.0,6134.0,826.0166980877996
3383,Andhra Pradesh,KADAPA,824.4,2001,Kharif     ,Rice,38218.0,96883.0,2535.009681302004
3402,Andhra Pradesh,KADAPA,824.4,2001,Rabi       ,Rice,37550.0,98231.0,2616.005326231691
3429,Andhra Pradesh,KADAPA,824.4,2002,Kharif     ,Rice,27457.0,56424.0,2054.9950832210366
3445,Andhra Pradesh,KADAPA,824.4,2002,Rabi       ,Rice,9203.0,16446.0,1787.025969792459
3485,Andhra Pradesh,KADAPA,824.4,2003,Kharif     ,Rice,23356.0,60025.0,2570.0034252440487
3501,Andhra Pradesh,KADAPA,824.4,2003,Rabi       ,Rice,10767.0,24032.0,2232.005201077366
3539,Andhra Pradesh,KADAPA,824.4,2004,Kharif     ,Rice,46932.0,149619.0,3187.9953975965227
3555,Andhra Pradesh,KADAPA,824.4,2004,Rabi       ,Rice,5689.0,11424.0,2008.0857795746176
3583,Andhra Pradesh,KADAPA,824.4,2005,Kharif     ,Rice,45556.0,85828.0,1884.0108876986567
3598,Andhra Pradesh,KADAPA,824.4,2005,Rabi       ,Rice,21197.0,55791.0,2632.0233995376702
3625,Andhra Pradesh,KADAPA,824.4,2006,Kharif     ,Rice,41908.0,114493.0,2732.0082084566193
3640,Andhra Pradesh,KADAPA,824.4,2006,Rabi       ,Rice,4997.0,10963.0,2193.916349809886
3662,Andhra Pradesh,KADAPA,824.4,2007,Kharif     ,Rice,45000.0,139000.0,3088.8888888888887
3669,Andhra Pradesh,KADAPA,824.4,2007,Rabi       ,Rice,17000.0,45000.0,2647.0588235294117
3686,Andhra Pradesh,KADAPA,824.4,2008,Kharif     ,Rice,50183.0,87168.0,1737.0025705916346
3702,Andhra Pradesh,KADAPA,824.4,2008,Rabi       ,Rice,14883.0,41271.0,2773.0296311227576
3729,Andhra Pradesh,KADAPA,824.4,2009,Kharif     ,Rice,52423.0,153757.0,2933.006504778437
3746,Andhra Pradesh,KADAPA,824.4,2009,Rabi       ,Rice,12894.0,34169.0,2649.992244454785
3773,Andhra Pradesh,KADAPA,824.4,2010,Kharif     ,Rice,53345.0,80657.0,1511.988002624426
3791,Andhra Pradesh,KADAPA,824.4,2010,Rabi       ,Rice,17037.0,48896.0,2869.988847801843
3821,Andhra Pradesh,KADAPA,824.4,2011,Kharif     ,Rice,47290.0,141161.0,2985.0074011418906
3840,Andhra Pradesh,KADAPA,824.4,2011,Rabi       ,Rice,6606.0,17499.0,2648.9554950045413
3876,Andhra Pradesh,KADAPA,824.4,2012,Kharif     ,Rice,24147.0,61551.0,2549.0122996645546
3908,Andhra Pradesh,KADAPA,824.4,2012,Rabi       ,Rice,6601.0,19249.0,2916.0733222239055
3944,Andhra Pradesh,KADAPA,824.4,2013,Kharif     ,Rice,51753.0,148842.0,2876.007187989102
3973,Andhra Pradesh,KADAPA,824.4,2013,Rabi       ,Rice,10959.0,29447.0,2687.015238616662
4014,Andhra Pradesh,KADAPA,824.4,2014,Kharif     ,Rice,42124.0,155648.0,3694.995726901529
4043,Andhra Pradesh,KADAPA,824.4,2014,Rabi       ,Rice,3761.0,10189.0,2709.1199149162458
4055,Andhra Pradesh,KADAPA,824.4,2014,Whole Year ,Rice,45885.0,165837.0,3614.187643020595
4064,Andhra Pradesh,KRISHNA,824.4,1997,Kharif     ,Rice,257900.0,699400.0,2711.9038386971692
4076,Andhra Pradesh,KRISHNA,824.4,1997,Rabi       ,Rice,116300.0,393500.0,3383.4909716251077
4085,Andhra Pradesh,KRISHNA,824.4,1998,Kharif     ,Rice,280800.0,759900.0,2706.196581196581
4097,Andhra Pradesh,KRISHNA,824.4,1998,Rabi       ,Rice,134500.0,491200.0,3652.0446096654273
4107,Andhra Pradesh,KRISHNA,824.4,1999,Kharif     ,Rice,278415.0,834490.0,2997.2882208214355
4118,Andhra Pradesh,KRISHNA,824.4,1999,Rabi       ,Rice,127888.0,457596.0,3578.0995871387463
4136,Andhra Pradesh,KRISHNA,824.4,2000,Kharif     ,Rice,281343.0,868787.0,3087.9993459940356
4151,Andhra Pradesh,KRISHNA,824.4,2000,Rabi       ,Rice,112917.0,408308.0,3616.0011335759896
4173,Andhra Pradesh,KRISHNA,824.4,2001,Kharif     ,Rice,245114.0,714507.0,2914.998735282358
4188,Andhra Pradesh,KRISHNA,824.4,2001,Rabi       ,Rice,98472.0,358635.0,3641.999756275896
4211,Andhra Pradesh,KRISHNA,824.4,2002,Kharif     ,Rice,243910.0,761243.0,3120.9995490139804
4226,Andhra Pradesh,KRISHNA,824.4,2002,Rabi       ,Rice,2185.0,5688.0,2603.203661327231
4267,Andhra Pradesh,KRISHNA,824.4,2003,Kharif     ,Rice,222367.0,526565.0,2367.999748164071
4281,Andhra Pradesh,KRISHNA,824.4,2003,Rabi       ,Rice,7486.0,19359.0,2586.0272508682874
4316,Andhra Pradesh,KRISHNA,824.4,2004,Kharif     ,Rice,245306.0,804849.0,3281.000057071576
4332,Andhra Pradesh,KRISHNA,824.4,2004,Rabi       ,Rice,10017.0,31584.0,3153.039832285115
4353,Andhra Pradesh,KRISHNA,824.4,2005,Kharif     ,Rice,254919.0,697203.0,2734.9981758911654
4367,Andhra Pradesh,KRISHNA,824.4,2005,Rabi       ,Rice,104332.0,409399.0,3924.00222367059
4387,Andhra Pradesh,KRISHNA,824.4,2006,Kharif     ,Rice,251433.0,521221.0,2073.001555086246
4399,Andhra Pradesh,KRISHNA,824.4,2006,Rabi       ,Rice,94862.0,355638.0,3749.003816069659
4417,Andhra Pradesh,KRISHNA,824.4,2007,Kharif     ,Rice,261000.0,944000.0,3616.8582375478927
4424,Andhra Pradesh,KRISHNA,824.4,2007,Rabi       ,Rice,94000.0,355000.0,3776.595744680851
4436,Andhra Pradesh,KRISHNA,824.4,2008,Kharif     ,Rice,273878.0,959395.0,3503.0013363614457
4449,Andhra Pradesh,KRISHNA,824.4,2008,Rabi       ,Rice,120655.0,467900.0,3877.999254071526
4469,Andhra Pradesh,KRISHNA,824.4,2009,Kharif     ,Rice,228196.0,784310.0,3437.0015250048205
4481,Andhra Pradesh,KRISHNA,824.4,2009,Rabi       ,Rice,108442.0,424984.0,3918.998174139171
4500,Andhra Pradesh,KRISHNA,824.4,2010,Kharif     ,Rice,260350.0,722978.0,2776.9464182830807
4514,Andhra Pradesh,KRISHNA,824.4,2010,Rabi       ,Rice,94991.0,367710.0,3870.998305102589
4535,Andhra Pradesh,KRISHNA,824.4,2011,Kharif     ,Rice,262826.0,980105.0,3729.102143623538
4548,Andhra Pradesh,KRISHNA,824.4,2011,Rabi       ,Rice,9203.0,31437.0,3415.9513202216667
4574,Andhra Pradesh,KRISHNA,824.4,2012,Kharif     ,Rice,253166.0,908360.0,3588.0015483911743
4594,Andhra Pradesh,KRISHNA,824.4,2012,Rabi       ,Rice,11365.0,42244.0,3717.025956885174
4617,Andhra Pradesh,KRISHNA,824.4,2013,Kharif     ,Rice,264371.0,773285.0,2924.9993380514506
4636,Andhra Pradesh,KRISHNA,824.4,2013,Rabi       ,Rice,98951.0,402236.0,4065.0018696122324
4664,Andhra Pradesh,KRISHNA,824.4,2014,Kharif     ,Rice,235212.0,788901.0,3353.9997959287793
4683,Andhra Pradesh,KRISHNA,824.4,2014,Rabi       ,Rice,52830.0,209894.0,3973.0077607420026
4691,Andhra Pradesh,KRISHNA,824.4,2014,Whole Year ,Rice,288042.0,998795.0,3467.5325126196876
4702,Andhra Pradesh,KURNOOL,824.4,1997,Kharif     ,Rice,66300.0,176900.0,2668.1749622926095
4715,Andhra Pradesh,KURNOOL,824.4,1997,Rabi       ,Rice,9000.0,23900.0,2655.5555555555557
4730,Andhra Pradesh,KURNOOL,824.4,1998,Kharif     ,Rice,75100.0,221700.0,2952.063914780293
