Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
2000,11000,0.19,1,1,0.46,1,1,480,649,5500
3000,18000,0.19,1,1,0.46,1,1,480,649,6000
2000,9000,0.19,1,1,0.46,1,1,480,649,4500
3000,20000,0.19,1,1,0.46,1,1,480,649,6666.666667
3000,11000,0.19,1,1,0.46,1,1,480,649,3666.666667
4000,10000,0.19,1,1,0.46,1,1,480,649,2500
3000,10000,0.19,1,1,0.46,1,1,480,649,3333.333333
4000,12000,0.19,1,1,0.46,1,1,480,649,3000
4000,17000,0.19,1,1,0.46,1,1,480,649,4250
5000,17000,0.19,1,1,0.46,1,1,480,649,3400
4000,13000,0.19,1,1,0.46,1,1,480,649,3250
3000,10000,0.19,1,1,0.46,1,1,480,649,3333.333333
2000,6000,0.19,1,1,0.46,1,1,480,649,3000
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
2000,9000,0.19,1,1,0.46,1,1,480,649,4500
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
2000,9000,0.19,1,1,0.46,1,1,480,649,4500
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
2000,6000,0.19,1,1,0.46,1,1,480,649,3000
3000,8000,0.19,1,1,0.46,1,1,480,649,2666.666667
2000,14000,0.19,1,1,0.46,1,1,480,649,7000
3000,21000,0.19,1,1,0.46,1,1,480,649,7000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
2000,5000,0.19,1,1,0.46,1,1,480,649,2500
3000,8000,0.19,1,1,0.46,1,1,480,649,2666.666667
1000,1000,0.19,1,1,0.46,1,1,480,649,1000
18000,39000,0.19,1,1,0.46,1,1,480,649,2166.666667
18000,43000,0.19,1,1,0.46,1,1,480,649,2388.888889
18000,46000,0.19,1,1,0.46,1,1,480,649,2555.555556
17000,53000,0.19,1,1,0.46,1,1,480,649,3117.647059
18000,51000,0.19,1,1,0.46,1,1,480,649,2833.333333
19000,38000,0.19,1,1,0.46,1,1,480,649,2000
18000,65000,0.19,1,1,0.46,1,1,480,649,3611.111111
18000,48000,0.19,1,1,0.46,1,1,480,649,2666.666667
17000,48000,0.19,1,1,0.46,1,1,480,649,2823.529412
18000,68000,0.19,1,1,0.46,1,1,480,649,3777.777778
17000,74000,0.19,1,1,0.46,1,1,480,649,4352.941176
17000,67000,0.19,1,1,0.46,1,1,480,649,3941.176471
16000,56000,0.19,1,1,0.46,1,1,480,649,3500
14000,57000,0.19,1,1,0.46,1,1,480,649,4071.428571
14000,55000,0.19,1,1,0.46,1,1,480,649,3928.571429
14000,58000,0.19,1,1,0.46,1,1,480,649,4142.857143
12000,50000,0.19,1,1,0.46,1,1,480,649,4166.666667
10000,44000,0.19,1,1,0.46,1,1,480,649,4400
9000,24000,0.19,1,1,0.46,1,1,480,649,2666.666667
9000,28000,0.19,1,1,0.46,1,1,480,649,3111.111111
8000,18000,0.19,1,1,0.46,1,1,480,649,2250
8000,15000,0.19,1,1,0.46,1,1,480,649,1875
6000,14000,0.19,1,1,0.46,1,1,480,649,2333.333333
5000,15000,0.19,1,1,0.46,1,1,480,649,3000
6000,17000,0.19,1,1,0.46,1,1,480,649,2833.333333
5000,11000,0.19,1,1,0.46,1,1,480,649,2200
4000,6000,0.19,1,1,0.46,1,1,480,649,1500
5000,14000,0.19,1,1,0.46,1,1,480,649,2800
4000,9000,0.19,1,1,0.46,1,1,480,649,2250
4000,9000,0.19,1,1,0.46,1,1,480,649,2250
2000,5000,0.19,1,1,0.46,1,1,480,649,2500
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
2000,6000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,6000,0.19,1,1,0.46,1,1,480,649,6000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,5000,0.19,1,1,0.46,1,1,480,649,5000
1000,5000,0.19,1,1,0.46,1,1,480,649,5000
28000,49000,0.19,1,1,0.46,1,1,480,649,1750
26000,52000,0.19,1,1,0.46,1,1,480,649,2000
28000,60000,0.19,1,1,0.46,1,1,480,649,2142.857143
28000,70000,0.19,1,1,0.46,1,1,480,649,2500
29000,66000,0.19,1,1,0.46,1,1,480,649,2275.862069
24000,42000,0.19,1,1,0.46,1,1,480,649,1750
23000,65000,0.19,1,1,0.46,1,1,480,649,2826.086957
25000,60000,0.19,1,1,0.46,1,1,480,649,2400
27000,75000,0.19,1,1,0.46,1,1,480,649,2777.777778
24000,61000,0.19,1,1,0.46,1,1,480,649,2541.666667
22000,72000,0.19,1,1,0.46,1,1,480,649,3272.727273
23000,77000,0.19,1,1,0.46,1,1,480,649,3347.826087
21000,64000,0.19,1,1,0.46,1,1,480,649,3047.619048
23000,76000,0.19,1,1,0.46,1,1,480,649,3304.347826
21000,80000,0.19,1,1,0.46,1,1,480,649,3809.52381
23000,74000,0.19,1,1,0.46,1,1,480,649,3217.391304
23000,74000,0.19,1,1,0.46,1,1,480,649,3217.391304
20000,58000,0.19,1,1,0.46,1,1,480,649,2900
7000,17000,0.19,1,1,0.46,1,1,480,649,2428.571429
7000,25000,0.19,1,1,0.46,1,1,480,649,3571.428571
5000,19000,0.19,1,1,0.46,1,1,480,649,3800
5000,19000,0.19,1,1,0.46,1,1,480,649,3800
6000,24000,0.19,1,1,0.46,1,1,480,649,4000
6000,24000,0.19,1,1,0.46,1,1,480,649,4000
6000,18000,0.19,1,1,0.46,1,1,480,649,3000
9000,44000,0.19,1,1,0.46,1,1,480,649,4888.888889
8000,30000,0.19,1,1,0.46,1,1,480,649,3750
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
2000,5000,0.19,1,1,0.46,1,1,480,649,2500
2000,4000,0.19,1,1,0.46,1,1,480,649,2000
2000,6000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
2000,7000,0.19,1,1,0.46,1,1,480,649,3500
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
2800,4900,1,0.6,1,1,1,1,1004.2,1094,1750
600,2400,1,0.6,1,1,1,1,1004.2,1094,4000
3300,6700,1,0.6,1,1,1,1,1004.2,1094,2030.30303
300,1600,1,0.6,1,1,1,1,1004.2,1094,5333.333333
3358,9540,1,0.6,1,1,1,1,1004.2,1094,2840.976772
455,2203,1,0.6,1,1,1,1,1004.2,1094,4841.758242
3475,9049,1,0.6,1,1,1,1,1004.2,1094,2604.028777
399,2148,1,0.6,1,1,1,1,1004.2,1094,5383.458647
2667,7129,1,0.6,1,1,1,1,1004.2,1094,2673.04087
447,2893,1,0.6,1,1,1,1,1004.2,1094,6472.035794
3541,3431,1,0.6,1,1,1,1,1004.2,1094,968.935329
1288,8933,1,0.6,1,1,1,1,1004.2,1094,6935.559006
6246,10718,1,0.6,1,1,1,1,1004.2,1094,1715.978226
1212,6787,1,0.6,1,1,1,1,1004.2,1094,5599.834983
3495,10031,1,0.6,1,1,1,1,1004.2,1094,2870.100143
3572,25822,1,0.6,1,1,1,1,1004.2,1094,7229.003359
5958,21538,1,0.6,1,1,1,1,1004.2,1094,3614.971467
1435,10721,1,0.6,1,1,1,1,1004.2,1094,7471.080139
4877,20181,1,0.6,1,1,1,1,1004.2,1094,4137.994669
3120,23640,1,0.6,1,1,1,1,1004.2,1094,7576.923077
7000,32000,1,0.6,1,1,1,1,1004.2,1094,4571.428571
6000,48000,1,0.6,1,1,1,1,1004.2,1094,8000
6041,20896,1,0.6,1,1,1,1,1004.2,1094,3459.029962
3658,32300,1,0.6,1,1,1,1,1004.2,1094,8829.961728
8852,43924,1,0.6,1,1,1,1,1004.2,1094,4962.042476
4615,33736,1,0.6,1,1,1,1,1004.2,1094,7310.07584
