,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
6,"frozenset({'(-1, 470]_l'})","frozenset({'(400, 500]_r'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
7,"frozenset({'(400, 500]_r'})","frozenset({'(-1, 470]_l'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
10,"frozenset({'(-1, 470]_l'})","frozenset({'(0.65, 0.75]_fert'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
11,"frozenset({'(0.65, 0.75]_fert'})","frozenset({'(-1, 470]_l'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
14,"frozenset({'(400, 500]_r'})","frozenset({'(0.65, 0.75]_fert'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
15,"frozenset({'(0.65, 0.75]_fert'})","frozenset({'(400, 500]_r'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
18,"frozenset({'(-1, 300]_a', '(400, 500]_r'})","frozenset({'(-1, 470]_l'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
19,"frozenset({'(-1, 300]_a', '(-1, 470]_l'})","frozenset({'(400, 500]_r'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
24,"frozenset({'(-1, 300]_a', '(-1, 470]_l'})","frozenset({'(0.65, 0.75]_fert'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
25,"frozenset({'(-1, 300]_a', '(0.65, 0.75]_fert'})","frozenset({'(-1, 470]_l'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
30,"frozenset({'(-1, 300]_a', '(400, 500]_r'})","frozenset({'(0.65, 0.75]_fert'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
31,"frozenset({'(-1, 300]_a', '(0.65, 0.75]_fert'})","frozenset({'(400, 500]_r'})",0.4317471344216742,0.8770406391108023,0.4317471344216742,1.0,1.1401980198019803,0.05308735171423157,inf
37,"frozenset({'(-1, 470]_l', '(1300, 1800]_y'})","frozenset({'(400, 500]_r'})",0.3945814518930184,0.8770406391108023,0.3945814518930184,1.0,1.1401980198019803,0.04851748314349724,inf
38,"frozenset({'(400, 500]_r', '(1300, 1800]_y'})","frozenset({'(-1, 470]_l'})",0.3945814518930184,0.8770406391108023,0.3945814518930184,1.0,1.1401980198019803,0.04851748314349724,inf
42,"frozenset({'(-1, 470]_l', '(400, 500]_r'})","frozenset({'(0.65, 0.75]_fert'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
43,"frozenset({'(-1, 470]_l', '(0.65, 0.75]_fert'})","frozenset({'(400, 500]_r'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
44,"frozenset({'(400, 500]_r', '(0.65, 0.75]_fert'})","frozenset({'(-1, 470]_l'})",0.8770406391108023,0.8770406391108023,0.8770406391108023,1.0,1.1401980198019803,0.10784035645891776,inf
