,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'(800, 1100]_r'})","frozenset({'(500, 600]_l'})",0.8894601542416453,1.0,0.8894601542416453,1.0,1.0,0.0,inf
2,"frozenset({'(12000, 30000]_y'})","frozenset({'(500, 600]_l'})",0.7660668380462725,1.0,0.7660668380462725,1.0,1.0,0.0,inf
4,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(500, 600]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
5,"frozenset({'(500, 600]_l'})","frozenset({'(0.8, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
8,"frozenset({'(800, 1100]_r'})","frozenset({'(0.8, 1.0]_fert'})",0.8894601542416453,1.0,0.8894601542416453,1.0,1.0,0.0,inf
10,"frozenset({'(12000, 30000]_y'})","frozenset({'(0.8, 1.0]_fert'})",0.7660668380462725,1.0,0.7660668380462725,1.0,1.0,0.0,inf
12,"frozenset({'(12000, 30000]_y', '(800, 1100]_r'})","frozenset({'(500, 600]_l'})",0.7583547557840618,1.0,0.7583547557840618,1.0,1.0,0.0,inf
18,"frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})","frozenset({'(500, 600]_l'})",0.8894601542416453,1.0,0.8894601542416453,1.0,1.0,0.0,inf
19,"frozenset({'(800, 1100]_r', '(500, 600]_l'})","frozenset({'(0.8, 1.0]_fert'})",0.8894601542416453,1.0,0.8894601542416453,1.0,1.0,0.0,inf
21,"frozenset({'(800, 1100]_r'})","frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})",0.8894601542416453,1.0,0.8894601542416453,1.0,1.0,0.0,inf
24,"frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})","frozenset({'(500, 600]_l'})",0.7660668380462725,1.0,0.7660668380462725,1.0,1.0,0.0,inf
25,"frozenset({'(12000, 30000]_y', '(500, 600]_l'})","frozenset({'(0.8, 1.0]_fert'})",0.7660668380462725,1.0,0.7660668380462725,1.0,1.0,0.0,inf
27,"frozenset({'(12000, 30000]_y'})","frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})",0.7660668380462725,1.0,0.7660668380462725,1.0,1.0,0.0,inf
30,"frozenset({'(12000, 30000]_y', '(800, 1100]_r'})","frozenset({'(0.8, 1.0]_fert'})",0.7583547557840618,1.0,0.7583547557840618,1.0,1.0,0.0,inf
36,"frozenset({'(12000, 30000]_y', '(800, 1100]_r', '(0.8, 1.0]_fert'})","frozenset({'(500, 600]_l'})",0.7583547557840618,1.0,0.7583547557840618,1.0,1.0,0.0,inf
37,"frozenset({'(12000, 30000]_y', '(800, 1100]_r', '(500, 600]_l'})","frozenset({'(0.8, 1.0]_fert'})",0.7583547557840618,1.0,0.7583547557840618,1.0,1.0,0.0,inf
40,"frozenset({'(12000, 30000]_y', '(800, 1100]_r'})","frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})",0.7583547557840618,1.0,0.7583547557840618,1.0,1.0,0.0,inf
6,"frozenset({'(12000, 30000]_y'})","frozenset({'(800, 1100]_r'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
13,"frozenset({'(12000, 30000]_y', '(500, 600]_l'})","frozenset({'(800, 1100]_r'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
15,"frozenset({'(12000, 30000]_y'})","frozenset({'(800, 1100]_r', '(500, 600]_l'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
31,"frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
33,"frozenset({'(12000, 30000]_y'})","frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
38,"frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert', '(500, 600]_l'})","frozenset({'(800, 1100]_r'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
41,"frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})","frozenset({'(800, 1100]_r', '(500, 600]_l'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
42,"frozenset({'(12000, 30000]_y', '(500, 600]_l'})","frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
46,"frozenset({'(12000, 30000]_y'})","frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert', '(500, 600]_l'})",0.7660668380462725,0.8894601542416453,0.7583547557840618,0.9899328859060403,1.1129592272180626,0.07696882785601467,10.98029134532998
1,"frozenset({'(500, 600]_l'})","frozenset({'(800, 1100]_r'})",1.0,0.8894601542416453,0.8894601542416453,0.8894601542416453,1.0,0.0,1.0
9,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",1.0,0.8894601542416453,0.8894601542416453,0.8894601542416453,1.0,0.0,1.0
20,"frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})","frozenset({'(800, 1100]_r'})",1.0,0.8894601542416453,0.8894601542416453,0.8894601542416453,1.0,0.0,1.0
22,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(800, 1100]_r', '(500, 600]_l'})",1.0,0.8894601542416453,0.8894601542416453,0.8894601542416453,1.0,0.0,1.0
23,"frozenset({'(500, 600]_l'})","frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})",1.0,0.8894601542416453,0.8894601542416453,0.8894601542416453,1.0,0.0,1.0
7,"frozenset({'(800, 1100]_r'})","frozenset({'(12000, 30000]_y'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
14,"frozenset({'(800, 1100]_r', '(500, 600]_l'})","frozenset({'(12000, 30000]_y'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
16,"frozenset({'(800, 1100]_r'})","frozenset({'(12000, 30000]_y', '(500, 600]_l'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
32,"frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
34,"frozenset({'(800, 1100]_r'})","frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
39,"frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert', '(500, 600]_l'})","frozenset({'(12000, 30000]_y'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
43,"frozenset({'(800, 1100]_r', '(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y', '(500, 600]_l'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
44,"frozenset({'(800, 1100]_r', '(500, 600]_l'})","frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
47,"frozenset({'(800, 1100]_r'})","frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert', '(500, 600]_l'})",0.8894601542416453,0.7660668380462725,0.7583547557840618,0.8526011560693642,1.1129592272180626,0.07696882785601467,1.5870759614899943
3,"frozenset({'(500, 600]_l'})","frozenset({'(12000, 30000]_y'})",1.0,0.7660668380462725,0.7660668380462725,0.7660668380462725,1.0,0.0,1.0
11,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y'})",1.0,0.7660668380462725,0.7660668380462725,0.7660668380462725,1.0,0.0,1.0
26,"frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})","frozenset({'(12000, 30000]_y'})",1.0,0.7660668380462725,0.7660668380462725,0.7660668380462725,1.0,0.0,1.0
28,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y', '(500, 600]_l'})",1.0,0.7660668380462725,0.7660668380462725,0.7660668380462725,1.0,0.0,1.0
29,"frozenset({'(500, 600]_l'})","frozenset({'(12000, 30000]_y', '(0.8, 1.0]_fert'})",1.0,0.7660668380462725,0.7660668380462725,0.7660668380462725,1.0,0.0,1.0
17,"frozenset({'(500, 600]_l'})","frozenset({'(12000, 30000]_y', '(800, 1100]_r'})",1.0,0.7583547557840618,0.7583547557840618,0.7583547557840618,1.0,0.0,1.0
35,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y', '(800, 1100]_r'})",1.0,0.7583547557840618,0.7583547557840618,0.7583547557840618,1.0,0.0,1.0
45,"frozenset({'(0.8, 1.0]_fert', '(500, 600]_l'})","frozenset({'(12000, 30000]_y', '(800, 1100]_r'})",1.0,0.7583547557840618,0.7583547557840618,0.7583547557840618,1.0,0.0,1.0
48,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(12000, 30000]_y', '(800, 1100]_r', '(500, 600]_l'})",1.0,0.7583547557840618,0.7583547557840618,0.7583547557840618,1.0,0.0,1.0
49,"frozenset({'(500, 600]_l'})","frozenset({'(12000, 30000]_y', '(800, 1100]_r', '(0.8, 1.0]_fert'})",1.0,0.7583547557840618,0.7583547557840618,0.7583547557840618,1.0,0.0,1.0
