,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
457,457,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,82000,246000,0.19,1,1,0.46,1,1,419.7
465,465,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,90000,305000,0.19,1,1,0.46,1,1,419.7
474,474,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,90000,310000,0.19,1,1,0.46,1,1,419.7
483,483,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,70000,267000,0.19,1,1,0.46,1,1,419.7
492,492,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,86000,280000,0.19,1,1,0.46,1,1,419.7
504,504,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,84000,308000,0.19,1,1,0.46,1,1,419.7
516,516,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,88000,337000,0.19,1,1,0.46,1,1,419.7
527,527,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,86000,339000,0.19,1,1,0.46,1,1,419.7
538,538,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,85000,338000,0.19,1,1,0.46,1,1,419.7
546,546,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,87000,351000,0.19,1,1,0.46,1,1,419.7
553,553,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,95000,414000,0.19,1,1,0.46,1,1,419.7
559,559,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,98000,414000,0.19,1,1,0.46,1,1,419.7
565,565,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,101000,409000,0.19,1,1,0.46,1,1,419.7
571,571,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,101000,405000,0.19,1,1,0.46,1,1,419.7
576,576,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,102000,444000,0.19,1,1,0.46,1,1,419.7
581,581,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,104000,443000,0.19,1,1,0.46,1,1,419.7
586,586,Punjab,FARIDKOT,Kharif     ,high,6,60,4,Hot-dry,Rice,106000,421000,0.19,1,1,0.46,1,1,419.7
590,590,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,82000,302000,0.19,1,1,0.46,1,1,419.7
598,598,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,83000,271000,0.19,1,1,0.46,1,1,419.7
606,606,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,82000,302000,0.19,1,1,0.46,1,1,419.7
613,613,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,84000,350000,0.19,1,1,0.46,1,1,419.7
621,621,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,81000,324000,0.19,1,1,0.46,1,1,419.7
630,630,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,80000,312000,0.19,1,1,0.46,1,1,419.7
