,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
998,998,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,30000,0.19,1,1,0.46,1,1,480
1008,1008,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,29000,0.19,1,1,0.46,1,1,480
1017,1017,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,28000,0.19,1,1,0.46,1,1,480
1025,1025,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,30000,0.19,1,1,0.46,1,1,480
1033,1033,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,11000,25000,0.19,1,1,0.46,1,1,480
1043,1043,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,11000,30000,0.19,1,1,0.46,1,1,480
1052,1052,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,10000,25000,0.19,1,1,0.46,1,1,480
1062,1062,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,2000,5000,0.19,1,1,0.46,1,1,480
1070,1070,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,2000,0.19,1,1,0.46,1,1,480
1078,1078,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
1089,1089,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,65000,144000,0.19,1,1,0.46,1,1,480
1100,1100,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,63000,141000,0.19,1,1,0.46,1,1,480
1112,1112,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,66000,177000,0.19,1,1,0.46,1,1,480
1124,1124,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,66000,184000,0.19,1,1,0.46,1,1,480
1135,1135,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,65000,189000,0.19,1,1,0.46,1,1,480
1146,1146,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,62000,128000,0.19,1,1,0.46,1,1,480
1158,1158,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,66000,187000,0.19,1,1,0.46,1,1,480
1171,1171,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,67000,194000,0.19,1,1,0.46,1,1,480
1181,1181,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,66000,172000,0.19,1,1,0.46,1,1,480
1193,1193,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,68000,225000,0.19,1,1,0.46,1,1,480
1204,1204,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,70000,230000,0.19,1,1,0.46,1,1,480
1214,1214,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,70000,242000,0.19,1,1,0.46,1,1,480
1225,1225,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,67000,240000,0.19,1,1,0.46,1,1,480
1236,1236,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,63000,241000,0.19,1,1,0.46,1,1,480
1247,1247,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,59000,241000,0.19,1,1,0.46,1,1,480
1259,1259,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,61000,248000,0.19,1,1,0.46,1,1,480
1272,1272,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,58000,228000,0.19,1,1,0.46,1,1,480
1282,1282,Punjab,HOSHIARPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,59000,222000,0.19,1,1,0.46,1,1,480
