,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'(800, 900]_l'})","frozenset({'(800, 1100]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
1,"frozenset({'(800, 1100]_r'})","frozenset({'(800, 900]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
3,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 900]_l'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
4,"frozenset({'(2000, 4000]_y'})","frozenset({'(800, 900]_l'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
6,"frozenset({'(800, 900]_l'})","frozenset({'(0.7, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
7,"frozenset({'(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
8,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
10,"frozenset({'(2000, 4000]_y'})","frozenset({'(800, 1100]_r'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
12,"frozenset({'(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
13,"frozenset({'(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
14,"frozenset({'(-1, 2000]_y'})","frozenset({'(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
16,"frozenset({'(2000, 4000]_y'})","frozenset({'(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
18,"frozenset({'(800, 900]_l', '(-1, 2000]_y'})","frozenset({'(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
19,"frozenset({'(-1, 2000]_y', '(800, 1100]_r'})","frozenset({'(800, 900]_l'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
21,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 900]_l', '(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
24,"frozenset({'(2000, 4000]_y', '(800, 900]_l'})","frozenset({'(800, 1100]_r'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
25,"frozenset({'(2000, 4000]_y', '(800, 1100]_r'})","frozenset({'(800, 900]_l'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
27,"frozenset({'(2000, 4000]_y'})","frozenset({'(800, 900]_l', '(800, 1100]_r'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
30,"frozenset({'(800, 900]_l', '(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
31,"frozenset({'(800, 900]_l', '(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
32,"frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
33,"frozenset({'(800, 900]_l'})","frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
34,"frozenset({'(800, 1100]_r'})","frozenset({'(800, 900]_l', '(0.7, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
35,"frozenset({'(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l', '(800, 1100]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
36,"frozenset({'(800, 900]_l', '(-1, 2000]_y'})","frozenset({'(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
38,"frozenset({'(-1, 2000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
40,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 900]_l', '(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
42,"frozenset({'(2000, 4000]_y', '(800, 900]_l'})","frozenset({'(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
43,"frozenset({'(2000, 4000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
45,"frozenset({'(2000, 4000]_y'})","frozenset({'(800, 900]_l', '(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
48,"frozenset({'(-1, 2000]_y', '(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
49,"frozenset({'(-1, 2000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
51,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
54,"frozenset({'(2000, 4000]_y', '(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
55,"frozenset({'(2000, 4000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
57,"frozenset({'(2000, 4000]_y'})","frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
60,"frozenset({'(800, 900]_l', '(-1, 2000]_y', '(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
61,"frozenset({'(800, 900]_l', '(-1, 2000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
62,"frozenset({'(0.7, 1.0]_fert', '(-1, 2000]_y', '(800, 1100]_r'})","frozenset({'(800, 900]_l'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
64,"frozenset({'(800, 900]_l', '(-1, 2000]_y'})","frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
65,"frozenset({'(-1, 2000]_y', '(800, 1100]_r'})","frozenset({'(800, 900]_l', '(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
66,"frozenset({'(-1, 2000]_y', '(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l', '(800, 1100]_r'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
70,"frozenset({'(-1, 2000]_y'})","frozenset({'(800, 900]_l', '(800, 1100]_r', '(0.7, 1.0]_fert'})",0.49795918367346936,1.0,0.49795918367346936,1.0,1.0,0.0,inf
74,"frozenset({'(2000, 4000]_y', '(800, 900]_l', '(800, 1100]_r'})","frozenset({'(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
75,"frozenset({'(2000, 4000]_y', '(800, 900]_l', '(0.7, 1.0]_fert'})","frozenset({'(800, 1100]_r'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
76,"frozenset({'(2000, 4000]_y', '(800, 1100]_r', '(0.7, 1.0]_fert'})","frozenset({'(800, 900]_l'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
78,"frozenset({'(2000, 4000]_y', '(800, 900]_l'})","frozenset({'(800, 1100]_r', '(0.7, 1.0]_fert'})",0.4775510204081633,1.0,0.4775510204081633,1.0,1.0,0.0,inf
