,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1,"frozenset({'(-1, 59963]_a'})","frozenset({'(600, 850]_l'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
3,"frozenset({'(-1, 59963]_a'})","frozenset({'(700, 1200]_r'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
5,"frozenset({'(-1, 59963]_a'})","frozenset({'(0.9, 1.0]_fert'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
6,"frozenset({'(600, 850]_l'})","frozenset({'(700, 1200]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
7,"frozenset({'(700, 1200]_r'})","frozenset({'(600, 850]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
9,"frozenset({'(2000, 3000]_y'})","frozenset({'(600, 850]_l'})",0.41995841995842,1.0,0.41995841995842,1.0,1.0,0.0,inf
11,"frozenset({'(3000, 11000]_y'})","frozenset({'(600, 850]_l'})",0.4490644490644491,1.0,0.4490644490644491,1.0,1.0,0.0,inf
12,"frozenset({'(600, 850]_l'})","frozenset({'(0.9, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
13,"frozenset({'(0.9, 1.0]_fert'})","frozenset({'(600, 850]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
15,"frozenset({'(2000, 3000]_y'})","frozenset({'(700, 1200]_r'})",0.41995841995842,1.0,0.41995841995842,1.0,1.0,0.0,inf
17,"frozenset({'(3000, 11000]_y'})","frozenset({'(700, 1200]_r'})",0.4490644490644491,1.0,0.4490644490644491,1.0,1.0,0.0,inf
18,"frozenset({'(0.9, 1.0]_fert'})","frozenset({'(700, 1200]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
19,"frozenset({'(700, 1200]_r'})","frozenset({'(0.9, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
21,"frozenset({'(2000, 3000]_y'})","frozenset({'(0.9, 1.0]_fert'})",0.41995841995842,1.0,0.41995841995842,1.0,1.0,0.0,inf
23,"frozenset({'(3000, 11000]_y'})","frozenset({'(0.9, 1.0]_fert'})",0.4490644490644491,1.0,0.4490644490644491,1.0,1.0,0.0,inf
25,"frozenset({'(600, 850]_l', '(-1, 59963]_a'})","frozenset({'(700, 1200]_r'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
26,"frozenset({'(700, 1200]_r', '(-1, 59963]_a'})","frozenset({'(600, 850]_l'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
29,"frozenset({'(-1, 59963]_a'})","frozenset({'(600, 850]_l', '(700, 1200]_r'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
31,"frozenset({'(600, 850]_l', '(-1, 59963]_a'})","frozenset({'(0.9, 1.0]_fert'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
32,"frozenset({'(0.9, 1.0]_fert', '(-1, 59963]_a'})","frozenset({'(600, 850]_l'})",0.49272349272349275,1.0,0.49272349272349275,1.0,1.0,0.0,inf
