Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
700,42000,0.19,1,1,0.46,1,1,1602.5,649,60000
9,599000,0.19,1,1,0.46,1,1,1602.5,649,66555555.56
10000,651000,0.19,1,1,0.46,1,1,1602.5,649,65100
10000,764000,0.19,1,1,0.46,1,1,1602.5,649,76400
11000,825000,0.19,1,1,0.46,1,1,1602.5,649,75000
5000,270000,0.19,1,1,0.46,1,1,1602.5,649,54000
4000,240000,0.19,1,1,0.46,1,1,1602.5,649,60000
4000,220000,0.19,1,1,0.46,1,1,1602.5,649,55000
5000,330000,0.19,1,1,0.46,1,1,1602.5,649,66000
6000,370000,0.19,1,1,0.46,1,1,1602.5,649,61666.66667
6000,350000,0.19,1,1,0.46,1,1,1602.5,649,58333.33333
6000,320000,0.19,1,1,0.46,1,1,1602.5,649,53333.33333
5000,300000,0.19,1,1,0.46,1,1,1602.5,649,60000
4000,231000,0.19,1,1,0.46,1,1,1602.5,649,57750
300,18000,0.19,1,1,0.46,1,1,1602.5,649,60000
3,221000,0.19,1,1,0.46,1,1,1602.5,649,73666666.67
4000,258000,0.19,1,1,0.46,1,1,1602.5,649,64500
4000,328000,0.19,1,1,0.46,1,1,1602.5,649,82000
4000,312000,0.19,1,1,0.46,1,1,1602.5,649,78000
8000,470000,0.19,1,1,0.46,1,1,1602.5,649,58750
5000,330000,0.19,1,1,0.46,1,1,1602.5,649,66000
6000,420000,0.19,1,1,0.46,1,1,1602.5,649,70000
7000,470000,0.19,1,1,0.46,1,1,1602.5,649,67142.85714
8000,540000,0.19,1,1,0.46,1,1,1602.5,649,67500
8000,510000,0.19,1,1,0.46,1,1,1602.5,649,63750
5000,270000,0.19,1,1,0.46,1,1,1602.5,649,54000
3000,140000,0.19,1,1,0.46,1,1,1602.5,649,46666.66667
2000,133000,0.19,1,1,0.46,1,1,1602.5,649,66500
100,6000,0.19,1,1,0.46,1,1,1602.5,649,60000
2,161000,0.19,1,1,0.46,1,1,1602.5,649,80500000
2000,136000,0.19,1,1,0.46,1,1,1602.5,649,68000
2000,170000,0.19,1,1,0.46,1,1,1602.5,649,85000
3000,258000,0.19,1,1,0.46,1,1,1602.5,649,86000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,70000,0.19,1,1,0.46,1,1,1602.5,649,70000
1000,50000,0.19,1,1,0.46,1,1,1602.5,649,50000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
2000,150000,0.19,1,1,0.46,1,1,1602.5,649,75000
2000,100000,0.19,1,1,0.46,1,1,1602.5,649,50000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
2000,110000,0.19,1,1,0.46,1,1,1602.5,649,55000
2000,130000,0.19,1,1,0.46,1,1,1602.5,649,65000
2000,130000,0.19,1,1,0.46,1,1,1602.5,649,65000
4000,290000,0.19,1,1,0.46,1,1,1602.5,649,72500
5000,380000,0.19,1,1,0.46,1,1,1602.5,649,76000
8000,500000,0.19,1,1,0.46,1,1,1602.5,649,62500
4000,210000,0.19,1,1,0.46,1,1,1602.5,649,52500
1000,50000,0.19,1,1,0.46,1,1,1602.5,649,50000
1000,51000,0.19,1,1,0.46,1,1,1602.5,649,51000
13000,730000,0.19,1,1,0.46,1,1,1602.5,649,56153.84615
11000,630000,0.19,1,1,0.46,1,1,1602.5,649,57272.72727
12000,700000,0.19,1,1,0.46,1,1,1602.5,649,58333.33333
12000,760000,0.19,1,1,0.46,1,1,1602.5,649,63333.33333
12000,720000,0.19,1,1,0.46,1,1,1602.5,649,60000
12000,640000,0.19,1,1,0.46,1,1,1602.5,649,53333.33333
10000,470000,0.19,1,1,0.46,1,1,1602.5,649,47000
7000,380000,0.19,1,1,0.46,1,1,1602.5,649,54285.71429
7000,380000,0.19,1,1,0.46,1,1,1602.5,649,54285.71429
500,31000,0.19,1,1,0.46,1,1,1602.5,649,62000
6,407000,0.19,1,1,0.46,1,1,1602.5,649,67833333.33
5000,327000,0.19,1,1,0.46,1,1,1602.5,649,65400
6000,401000,0.19,1,1,0.46,1,1,1602.5,649,66833.33333
6000,395000,0.19,1,1,0.46,1,1,1602.5,649,65833.33333
4,298000,0.19,1,1,0.46,1,1,1602.5,649,74500000
4000,297000,0.19,1,1,0.46,1,1,1602.5,649,74250
4000,234000,0.19,1,1,0.46,1,1,1602.5,649,58500
4000,253000,0.19,1,1,0.46,1,1,1602.5,649,63250
5000,270000,0.19,1,1,0.46,1,1,1602.5,649,54000
3000,170000,0.19,1,1,0.46,1,1,1602.5,649,56666.66667
3000,180000,0.19,1,1,0.46,1,1,1602.5,649,60000
3000,220000,0.19,1,1,0.46,1,1,1602.5,649,73333.33333
4000,280000,0.19,1,1,0.46,1,1,1602.5,649,70000
5000,330000,0.19,1,1,0.46,1,1,1602.5,649,66000
4000,240000,0.19,1,1,0.46,1,1,1602.5,649,60000
2000,120000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,70000,0.19,1,1,0.46,1,1,1602.5,649,70000
100,8000,0.19,1,1,0.46,1,1,1602.5,649,80000
3,264000,0.19,1,1,0.46,1,1,1602.5,649,88000000
2000,184000,0.19,1,1,0.46,1,1,1602.5,649,92000
3000,281000,0.19,1,1,0.46,1,1,1602.5,649,93666.66667
3000,272000,0.19,1,1,0.46,1,1,1602.5,649,90666.66667
11000,560000,0.19,1,1,0.46,1,1,1602.5,649,50909.09091
9000,510000,0.19,1,1,0.46,1,1,1602.5,649,56666.66667
9000,490000,0.19,1,1,0.46,1,1,1602.5,649,54444.44444
10000,550000,0.19,1,1,0.46,1,1,1602.5,649,55000
10000,540000,0.19,1,1,0.46,1,1,1602.5,649,54000
9000,490000,0.19,1,1,0.46,1,1,1602.5,649,54444.44444
7000,350000,0.19,1,1,0.46,1,1,1602.5,649,50000
4000,230000,0.19,1,1,0.46,1,1,1602.5,649,57500
6000,383000,0.19,1,1,0.46,1,1,1602.5,649,63833.33333
200,13000,0.19,1,1,0.46,1,1,1602.5,649,65000
3,224000,0.19,1,1,0.46,1,1,1602.5,649,74666666.67
3000,227000,0.19,1,1,0.46,1,1,1602.5,649,75666.66667
2000,152000,0.19,1,1,0.46,1,1,1602.5,649,76000
3000,238000,0.19,1,1,0.46,1,1,1602.5,649,79333.33333
100,5000,0.19,1,1,0.46,1,1,1602.5,649,50000
1,65000,0.19,1,1,0.46,1,1,1602.5,649,65000000
1000,57000,0.19,1,1,0.46,1,1,1602.5,649,57000
1000,61000,0.19,1,1,0.46,1,1,1602.5,649,61000
1000,64000,0.19,1,1,0.46,1,1,1602.5,649,64000
7000,450000,0.19,1,1,0.46,1,1,1602.5,649,64285.71429
5000,330000,0.19,1,1,0.46,1,1,1602.5,649,66000
4000,280000,0.19,1,1,0.46,1,1,1602.5,649,70000
3000,220000,0.19,1,1,0.46,1,1,1602.5,649,73333.33333
4000,280000,0.19,1,1,0.46,1,1,1602.5,649,70000
4000,280000,0.19,1,1,0.46,1,1,1602.5,649,70000
3000,200000,0.19,1,1,0.46,1,1,1602.5,649,66666.66667
2000,150000,0.19,1,1,0.46,1,1,1602.5,649,75000
1000,75000,0.19,1,1,0.46,1,1,1602.5,649,75000
100,8000,0.19,1,1,0.46,1,1,1602.5,649,80000
2,163000,0.19,1,1,0.46,1,1,1602.5,649,81500000
2000,161000,0.19,1,1,0.46,1,1,1602.5,649,80500
3000,264000,0.19,1,1,0.46,1,1,1602.5,649,88000
3000,265000,0.19,1,1,0.46,1,1,1602.5,649,88333.33333
1,40000,0.19,1,1,0.46,1,1,1602.5,649,40000000
1000,71000,0.19,1,1,0.46,1,1,1602.5,649,71000
1000,75000,0.19,1,1,0.46,1,1,1602.5,649,75000
700,72900,1,0.6,1,1,1,1,1602.5,1094,104142.8571
700,65900,1,0.6,1,1,1,1,1602.5,1094,94142.85714
884,83126,1,0.6,1,1,1,1,1602.5,1094,94033.93665
284,25395,1,0.6,1,1,1,1,1602.5,1094,89419.01408
490,42470,1,0.6,1,1,1,1,1602.5,1094,86673.46939
329,22481,1,0.6,1,1,1,1,1602.5,1094,68331.30699
454,32386,1,0.6,1,1,1,1,1602.5,1094,71334.80176
400,34072,1,0.6,1,1,1,1,1602.5,1094,85180
227,20612,1,0.6,1,1,1,1,1602.5,1094,90801.76211
339,30937,1,0.6,1,1,1,1,1602.5,1094,91259.58702
131,12305,1,0.6,1,1,1,1,1602.5,1094,93931.29771
112,9968,1,0.6,1,1,1,1,1602.5,1094,89000
235,20981,1,0.6,1,1,1,1,1602.5,1094,89280.85106
410,39186,1,0.6,1,1,1,1,1602.5,1094,95575.60976
76,6954,1,0.6,1,1,1,1,1602.5,1094,91500
281,26505,1,0.6,1,1,1,1,1602.5,1094,94323.84342
30,2456,1,0.6,1,1,1,1,1602.5,1094,81866.66667
29600,2775100,1,0.6,1,1,1,1,1602.5,1094,93753.37838
34500,3377000,1,0.6,1,1,1,1,1602.5,1094,97884.05797
44929,4097998,1,0.6,1,1,1,1,1602.5,1094,91210.53217
40539,3697441,1,0.6,1,1,1,1,1602.5,1094,91207.01053
38789,3337250,1,0.6,1,1,1,1,1602.5,1094,86035.98958
39436,2684685,1,0.6,1,1,1,1,1602.5,1094,68077.01085
26845,1881888,1,0.6,1,1,1,1,1602.5,1094,70101.99292
21928,1865393,1,0.6,1,1,1,1,1602.5,1094,85068.99854
22453,1972429,1,0.6,1,1,1,1,1602.5,1094,87847.01376
37965,3496956,1,0.6,1,1,1,1,1602.5,1094,92109.99605
30000,2819000,1,0.6,1,1,1,1,1602.5,1094,93966.66667
26916,2263880,1,0.6,1,1,1,1,1602.5,1094,84109.0801
27193,2261081,1,0.6,1,1,1,1,1602.5,1094,83149.37668
27719,2311342,1,0.6,1,1,1,1,1602.5,1094,83384.75414
28405,2577106,1,0.6,1,1,1,1,1602.5,1094,90727.19592
28106,2491232,1,0.6,1,1,1,1,1602.5,1094,88637.01701
28152,2562925,1,0.6,1,1,1,1,1602.5,1094,91038.82495
26147,2066986,1,0.6,1,1,1,1,1602.5,1094,79052.5108
15100,1197300,1,0.6,1,1,1,1,1602.5,1094,79291.39073
16400,1254900,1,0.6,1,1,1,1,1602.5,1094,76518.29268
15657,1425465,1,0.6,1,1,1,1,1602.5,1094,91043.30331
14772,1313615,1,0.6,1,1,1,1,1602.5,1094,88926.00867
14255,1282665,1,0.6,1,1,1,1,1602.5,1094,89980.00702
15425,1269570,1,0.6,1,1,1,1,1602.5,1094,82305.99676
16285,1397774,1,0.6,1,1,1,1,1602.5,1094,85831.99263
15965,1356801,1,0.6,1,1,1,1,1602.5,1094,84985.96931
18422,1465857,1,0.6,1,1,1,1,1602.5,1094,79571.00206
18911,1683779,1,0.6,1,1,1,1,1602.5,1094,89037.01549
17000,1488000,1,0.6,1,1,1,1,1602.5,1094,87529.41176
13592,1159182,1,0.6,1,1,1,1,1602.5,1094,85284.13773
10879,1017609,1,0.6,1,1,1,1,1602.5,1094,93538.83629
13051,1086471,1,0.6,1,1,1,1,1602.5,1094,83248.10359
12618,1069560,1,0.6,1,1,1,1,1602.5,1094,84764.62197
13909,1111275,1,0.6,1,1,1,1,1602.5,1094,79896.11043
13857,1165341,1,0.6,1,1,1,1,1602.5,1094,84097.64018
12405,1056420,1,0.6,1,1,1,1,1602.5,1094,85160.82225
1600,109600,1,0.6,1,1,1,1,1602.5,1094,68500
2100,150300,1,0.6,1,1,1,1,1602.5,1094,71571.42857
2229,182780,1,0.6,1,1,1,1,1602.5,1094,82000.89726
1696,135426,1,0.6,1,1,1,1,1602.5,1094,79850.23585
1700,139080,1,0.6,1,1,1,1,1602.5,1094,81811.76471
1738,114932,1,0.6,1,1,1,1,1602.5,1094,66128.88377
1547,110569,1,0.6,1,1,1,1,1602.5,1094,71473.17388
1972,150690,1,0.6,1,1,1,1,1602.5,1094,76414.8073
1953,138788,1,0.6,1,1,1,1,1602.5,1094,71064.0041
1721,135923,1,0.6,1,1,1,1,1602.5,1094,78979.08193
2000,117000,1,0.6,1,1,1,1,1602.5,1094,58500
762,57402,1,0.6,1,1,1,1,1602.5,1094,75330.70866
409,41203,1,0.6,1,1,1,1,1602.5,1094,100740.8313
908,77430,1,0.6,1,1,1,1,1602.5,1094,85275.3304
967,100572,1,0.6,1,1,1,1,1602.5,1094,104004.1365
573,53792,1,0.6,1,1,1,1,1602.5,1094,93877.83595
420,43200,1,0.6,1,1,1,1,1602.5,1094,102857.1429
470,46102,1,0.6,1,1,1,1,1602.5,1094,98089.3617
200,19300,1,0.6,1,1,1,1,1602.5,1094,96500
400,38200,1,0.6,1,1,1,1,1602.5,1094,95500
425,40844,1,0.6,1,1,1,1,1602.5,1094,96103.52941
356,32880,1,0.6,1,1,1,1,1602.5,1094,92359.55056
674,62755,1,0.6,1,1,1,1,1602.5,1094,93108.30861
1063,78516,1,0.6,1,1,1,1,1602.5,1094,73862.65287
555,40233,1,0.6,1,1,1,1,1602.5,1094,72491.89189
377,33563,1,0.6,1,1,1,1,1602.5,1094,89026.5252
922,88323,1,0.6,1,1,1,1,1602.5,1094,95795.01085
2056,201081,1,0.6,1,1,1,1,1602.5,1094,97802.0428
1000,82000,1,0.6,1,1,1,1,1602.5,1094,82000
68,5100,1,0.6,1,1,1,1,1602.5,1094,75000
140,12268,1,0.6,1,1,1,1,1602.5,1094,87628.57143
835,75413,1,0.6,1,1,1,1,1602.5,1094,90314.97006
735,59825,1,0.6,1,1,1,1,1602.5,1094,81394.55782
785,59550,1,0.6,1,1,1,1,1602.5,1094,75859.87261
550,35420,1,0.6,1,1,1,1,1602.5,1094,64400
373,30621,1,0.6,1,1,1,1,1602.5,1094,82093.83378
15400,1634000,1,0.6,1,1,1,1,1602.5,1094,106103.8961
17300,1852600,1,0.6,1,1,1,1,1602.5,1094,107086.7052
15572,1825668,1,0.6,1,1,1,1,1602.5,1094,117240.4315
12658,1382481,1,0.6,1,1,1,1,1602.5,1094,109217.9649
10690,1112198,1,0.6,1,1,1,1,1602.5,1094,104040.9729
15203,1535260,1,0.6,1,1,1,1,1602.5,1094,100984.0163
17524,1322046,1,0.6,1,1,1,1,1602.5,1094,75442.02237
18699,1884261,1,0.6,1,1,1,1,1602.5,1094,100768.009
21680,1810150,1,0.6,1,1,1,1,1602.5,1094,83494.00369
21424,1958089,1,0.6,1,1,1,1,1602.5,1094,91396.98469
16000,1655000,1,0.6,1,1,1,1,1602.5,1094,103437.5
11255,1073337,1,0.6,1,1,1,1,1602.5,1094,95365.34873
9494,829393,1,0.6,1,1,1,1,1602.5,1094,87359.70086
16144,1527716,1,0.6,1,1,1,1,1602.5,1094,94630.57483
16024,1621860,1,0.6,1,1,1,1,1602.5,1094,101214.4284
15585,1373963,1,0.6,1,1,1,1,1602.5,1094,88159.31986
16123,1447765,1,0.6,1,1,1,1,1602.5,1094,89795.01333
16719,1400898,1,0.6,1,1,1,1,1602.5,1094,83790.77696
100,9900,1,0.6,1,1,1,1,1602.5,1094,99000
200,15100,1,0.6,1,1,1,1,1602.5,1094,75500
176,15620,1,0.6,1,1,1,1,1602.5,1094,88750
47,3379,1,0.6,1,1,1,1,1602.5,1094,71893.61702
48,4175,1,0.6,1,1,1,1,1602.5,1094,86979.16667
80,5906,1,0.6,1,1,1,1,1602.5,1094,73825
435,31537,1,0.6,1,1,1,1,1602.5,1094,72498.85057
393,34395,1,0.6,1,1,1,1,1602.5,1094,87519.08397
1817,175635,1,0.6,1,1,1,1,1602.5,1094,96662.08035
2246,210675,1,0.6,1,1,1,1,1602.5,1094,93800.08905
2000,143000,1,0.6,1,1,1,1,1602.5,1094,71500
1055,94785,1,0.6,1,1,1,1,1602.5,1094,89843.6019
1406,116158,1,0.6,1,1,1,1,1602.5,1094,82615.93172
1738,168912,1,0.6,1,1,1,1,1602.5,1094,97187.57192
985,100261,1,0.6,1,1,1,1,1602.5,1094,101787.8173
1468,138519,1,0.6,1,1,1,1,1602.5,1094,94358.99183
751,80420,1,0.6,1,1,1,1,1602.5,1094,107083.8881
714,83391,1,0.6,1,1,1,1,1602.5,1094,116794.1176
400,27200,1,0.6,1,1,1,1,1602.5,1094,68000
300,22600,1,0.6,1,1,1,1,1602.5,1094,75333.33333
343,27265,1,0.6,1,1,1,1,1602.5,1094,79489.79592
272,21836,1,0.6,1,1,1,1,1602.5,1094,80279.41176
287,23462,1,0.6,1,1,1,1,1602.5,1094,81749.12892
376,24440,1,0.6,1,1,1,1,1602.5,1094,65000
289,20521,1,0.6,1,1,1,1,1602.5,1094,71006.92042
144,10717,1,0.6,1,1,1,1,1602.5,1094,74423.61111
89,6404,1,0.6,1,1,1,1,1602.5,1094,71955.05618
124,9854,1,0.6,1,1,1,1,1602.5,1094,79467.74194
251,20080,1,0.6,1,1,1,1,1602.5,1094,80000
144,10656,1,0.6,1,1,1,1,1602.5,1094,74000
331,27142,1,0.6,1,1,1,1,1602.5,1094,82000
423,34263,1,0.6,1,1,1,1,1602.5,1094,81000
661,50837,1,0.6,1,1,1,1,1602.5,1094,76909.22844
673,53132,1,0.6,1,1,1,1,1602.5,1094,78947.99406
900,64800,1,0.6,1,1,1,1,1602.5,1094,72000
5700,446300,1,0.6,1,1,1,1,1602.5,1094,78298.24561
6100,546100,1,0.6,1,1,1,1,1602.5,1094,89524.59016
6562,614664,1,0.6,1,1,1,1,1602.5,1094,93670.22249
7872,633231,1,0.6,1,1,1,1,1602.5,1094,80440.92988
9842,869265,1,0.6,1,1,1,1,1602.5,1094,88321.9874
6986,727885,1,0.6,1,1,1,1,1602.5,1094,104191.9553
5694,547216,1,0.6,1,1,1,1,1602.5,1094,96103.96909
5521,521917,1,0.6,1,1,1,1,1602.5,1094,94533.05561
7790,732019,1,0.6,1,1,1,1,1602.5,1094,93969.0629
10395,1189593,1,0.6,1,1,1,1,1602.5,1094,114438.961
10000,946000,1,0.6,1,1,1,1,1602.5,1094,94600
7825,687108,1,0.6,1,1,1,1,1602.5,1094,87809.32907
4832,486932,1,0.6,1,1,1,1,1602.5,1094,100772.351
7172,658905,1,0.6,1,1,1,1,1602.5,1094,91871.8628
9061,976456,1,0.6,1,1,1,1,1602.5,1094,107764.7059
9896,972280,1,0.6,1,1,1,1,1602.5,1094,98249.7979
7835,817711,1,0.6,1,1,1,1,1602.5,1094,104366.4327
4002,393918,1,0.6,1,1,1,1,1602.5,1094,98430.28486
4900,341800,1,0.6,1,1,1,1,1602.5,1094,69755.10204
6900,478000,1,0.6,1,1,1,1,1602.5,1094,69275.36232
3956,320608,1,0.6,1,1,1,1,1602.5,1094,81043.47826
2733,207156,1,0.6,1,1,1,1,1602.5,1094,75798.02415
6631,540035,1,0.6,1,1,1,1,1602.5,1094,81440.95913
3150,207251,1,0.6,1,1,1,1,1602.5,1094,65793.96825
6835,487281,1,0.6,1,1,1,1,1602.5,1094,71292.02634
9065,690146,1,0.6,1,1,1,1,1602.5,1094,76133.03916
11004,801883,1,0.6,1,1,1,1,1602.5,1094,72871.95565
12171,926116,1,0.6,1,1,1,1,1602.5,1094,76092.02202
11000,778000,1,0.6,1,1,1,1,1602.5,1094,70727.27273
