Moth
Cotton(lint)
Water Melon
Barley
Jute
Sannhamp
other misc. pulses
Cucumber
Small millets
Turmeric
Dry chillies
Urad
Orange
Grapes
Citrus Fruit
Niger seed
Beans & Mutter(Vegetable)
Oilseeds total
Other Kharif pulses
Ginger
Sugarcane
Sapota
Other  Rabi pulses
Gram
Tobacco
Arhar/Tur
Mango
Pome Fruit
Varagu
Arecanut
Castor seed
other oilseeds
Rice
Brinjal
Bajra
Potato
Ragi
Linseed
Jowar
Moong(Green Gram)
Other Vegetables
Masoor
Tomato
Safflower
Total foodgrain
Lemon
Mesta
Coriander
Rapeseed &Mustard
Maize
Soyabean
Pome Granet
Onion
Groundnut
Papaya
Bottle Gourd
Korra
Peas  (vegetable)
Horse-gram
Bhindi
Cabbage
Other Fresh Fruits
Sunflower
Coconut 
Sweet potato
Wheat
other fibres
Cashewnut
Peas & beans (Pulses)
Tapioca
Dry ginger
Guar seed
Sesamum
Samai
Garlic
Banana
Cowpea(Lobia)
