,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'(-1, 100]_a'})","frozenset({'(300, 500]_l'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
2,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
4,"frozenset({'(-1, 100]_a'})","frozenset({'(0.6, 0.8]_fert'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
6,"frozenset({'(500, 800]_r'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
7,"frozenset({'(300, 500]_l'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
8,"frozenset({'(12000, 30000]_y'})","frozenset({'(300, 500]_l'})",0.8652849740932642,1.0,0.8652849740932642,1.0,1.0,0.0,inf
10,"frozenset({'(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
11,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
13,"frozenset({'(12000, 30000]_y'})","frozenset({'(500, 800]_r'})",0.8652849740932642,1.0,0.8652849740932642,1.0,1.0,0.0,inf
14,"frozenset({'(500, 800]_r'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
15,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
16,"frozenset({'(12000, 30000]_y'})","frozenset({'(0.6, 0.8]_fert'})",0.8652849740932642,1.0,0.8652849740932642,1.0,1.0,0.0,inf
18,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(300, 500]_l'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
19,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(500, 800]_r'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
21,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
24,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
25,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
27,"frozenset({'(-1, 100]_a'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
30,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(0.6, 0.8]_fert'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
31,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
33,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",0.616580310880829,1.0,0.616580310880829,1.0,1.0,0.0,inf
