Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
70000,168000,0.19,1,1,0.46,1,1,745.3,649,2400
73000,246000,0.19,1,1,0.46,1,1,745.3,649,3369.863014
82000,350000,0.19,1,1,0.46,1,1,745.3,649,4268.292683
91000,365000,0.19,1,1,0.46,1,1,745.3,649,4010.989011
93000,405000,0.19,1,1,0.46,1,1,745.3,649,4354.83871
100000,438000,0.19,1,1,0.46,1,1,745.3,649,4380
90000,366000,0.19,1,1,0.46,1,1,745.3,649,4066.666667
89000,328000,0.19,1,1,0.46,1,1,745.3,649,3685.393258
88000,351000,0.19,1,1,0.46,1,1,745.3,649,3988.636364
93000,338000,0.19,1,1,0.46,1,1,745.3,649,3634.408602
90000,317000,0.19,1,1,0.46,1,1,745.3,649,3522.222222
86000,275000,0.19,1,1,0.46,1,1,745.3,649,3197.674419
84000,251000,0.19,1,1,0.46,1,1,745.3,649,2988.095238
16000,24000,0.19,1,1,0.46,1,1,745.3,649,1500
9000,10000,0.19,1,1,0.46,1,1,745.3,649,1111.111111
9000,13000,0.19,1,1,0.46,1,1,745.3,649,1444.444444
8000,20000,0.19,1,1,0.46,1,1,745.3,649,2500
14000,20000,0.19,1,1,0.46,1,1,745.3,649,1428.571429
5000,6000,0.19,1,1,0.46,1,1,745.3,649,1200
4000,11000,0.19,1,1,0.46,1,1,745.3,649,2750
6000,20000,0.19,1,1,0.46,1,1,745.3,649,3333.333333
7000,28000,0.19,1,1,0.46,1,1,745.3,649,4000
7000,29000,0.19,1,1,0.46,1,1,745.3,649,4142.857143
8000,32000,0.19,1,1,0.46,1,1,745.3,649,4000
6000,36000,0.19,1,1,0.46,1,1,745.3,649,6000
4000,17000,0.19,1,1,0.46,1,1,745.3,649,4250
3000,9000,0.19,1,1,0.46,1,1,745.3,649,3000
3000,5000,0.19,1,1,0.46,1,1,745.3,649,1666.666667
2000,9000,0.19,1,1,0.46,1,1,745.3,649,4500
2000,8000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
161000,154000,0.19,1,1,0.46,1,1,745.3,649,956.5217391
109000,100000,0.19,1,1,0.46,1,1,745.3,649,917.4311927
85000,170000,0.19,1,1,0.46,1,1,745.3,649,2000
87000,233000,0.19,1,1,0.46,1,1,745.3,649,2678.16092
126000,276000,0.19,1,1,0.46,1,1,745.3,649,2190.47619
86000,202000,0.19,1,1,0.46,1,1,745.3,649,2348.837209
91000,267000,0.19,1,1,0.46,1,1,745.3,649,2934.065934
105000,437000,0.19,1,1,0.46,1,1,745.3,649,4161.904762
117000,542000,0.19,1,1,0.46,1,1,745.3,649,4632.478632
131000,599000,0.19,1,1,0.46,1,1,745.3,649,4572.519084
128000,481000,0.19,1,1,0.46,1,1,745.3,649,3757.8125
107000,476000,0.19,1,1,0.46,1,1,745.3,649,4448.598131
96000,391000,0.19,1,1,0.46,1,1,745.3,649,4072.916667
90000,330000,0.19,1,1,0.46,1,1,745.3,649,3666.666667
98000,228000,0.19,1,1,0.46,1,1,745.3,649,2326.530612
88000,298000,0.19,1,1,0.46,1,1,745.3,649,3386.363636
82000,264000,0.19,1,1,0.46,1,1,745.3,649,3219.512195
66000,217000,0.19,1,1,0.46,1,1,745.3,649,3287.878788
1000,2000,0.19,1,1,0.46,1,1,745.3,649,2000
1000,1000,0.19,1,1,0.46,1,1,745.3,649,1000
1000,1000,0.19,1,1,0.46,1,1,745.3,649,1000
1000,2000,0.19,1,1,0.46,1,1,745.3,649,2000
1000,2000,0.19,1,1,0.46,1,1,745.3,649,2000
1000,2000,0.19,1,1,0.46,1,1,745.3,649,2000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
35000,55000,0.19,1,1,0.46,1,1,745.3,649,1571.428571
24000,28000,0.19,1,1,0.46,1,1,745.3,649,1166.666667
20000,37000,0.19,1,1,0.46,1,1,745.3,649,1850
21000,41000,0.19,1,1,0.46,1,1,745.3,649,1952.380952
28000,47000,0.19,1,1,0.46,1,1,745.3,649,1678.571429
23000,38000,0.19,1,1,0.46,1,1,745.3,649,1652.173913
16000,39000,0.19,1,1,0.46,1,1,745.3,649,2437.5
19000,65000,0.19,1,1,0.46,1,1,745.3,649,3421.052632
23000,68000,0.19,1,1,0.46,1,1,745.3,649,2956.521739
27000,100000,0.19,1,1,0.46,1,1,745.3,649,3703.703704
15000,60000,0.19,1,1,0.46,1,1,745.3,649,4000
14000,50000,0.19,1,1,0.46,1,1,745.3,649,3571.428571
13000,57000,0.19,1,1,0.46,1,1,745.3,649,4384.615385
11000,36000,0.19,1,1,0.46,1,1,745.3,649,3272.727273
11000,33000,0.19,1,1,0.46,1,1,745.3,649,3000
11000,44000,0.19,1,1,0.46,1,1,745.3,649,4000
12000,50000,0.19,1,1,0.46,1,1,745.3,649,4166.666667
13000,51000,0.19,1,1,0.46,1,1,745.3,649,3923.076923
2000,9000,0.19,1,1,0.46,1,1,745.3,649,4500
3000,10000,0.19,1,1,0.46,1,1,745.3,649,3333.333333
